ID,Temp 1,Temp 2,Temp 3,Temp 4,Light 1,Light 2,Light 3,Light 4,Sound 1,Sound 1,Sound 3,Sound 4,CO2 1,CO2 2,Occupancy
105,26.06,26.44,25.94,26.44,18,22,98,59,0.07,0.11,0.16,0.06,950,-0.788461538,0
106,26.06,26.5,25.94,26.38,18,22,96,59,0.07,0.05,0.06,0.06,940,-0.996153846,0
107,26.06,26.44,25.94,26.38,18,22,96,59,0.07,0.05,0.07,0.05,930,-1.226923077,0
108,26.06,26.44,25.94,26.38,18,22,95,59,0.08,0.05,0.06,0.06,920,-1.519230769,0
109,26.06,26.38,25.94,26.31,18,22,96,60,0.07,0.05,0.06,0.06,910,-1.865384615,0
110,26.06,26.38,25.94,26.38,18,22,98,60,0.07,0.05,0.07,0.06,900,-2.257692308,0
111,26.06,26.38,25.88,26.38,19,23,99,60,0.08,0.04,0.06,0.06,890,-2.688461538,0
112,26.06,26.38,25.88,26.38,19,23,99,61,0.09,0.11,0.1,0.09,880,-3.2,0
113,26.06,26.38,25.88,26.38,19,23,99,61,0.08,0.11,0.1,0.09,870,-3.688461538,0
114,26.06,26.38,25.88,26.38,19,23,99,61,0.07,0.1,0.09,0.09,865,-4.196153846,0
115,26.06,26.38,25.88,26.38,18,23,99,60,0.07,0.07,0.07,0.09,855,-4.769230769,0
116,26.06,26.31,25.88,26.38,18,22,98,59,0.07,0.05,0.06,0.06,850,-5.257692308,0
117,26.06,26.31,25.88,26.38,18,22,97,59,0.07,0.05,0.05,0.06,845,-5.703846154,0
118,26.06,26.31,25.88,26.38,18,22,96,58,0.1,0.12,0.11,0.06,850,-6.011538462,0
119,26.06,26.31,25.88,26.38,17,21,94,57,0.08,0.05,0.06,0.07,845,-6.176923077,0
120,26,26.31,25.88,26.38,17,21,93,57,0.07,0.05,0.06,0.07,840,-6.288461538,0
121,26,26.25,25.88,26.38,17,21,92,56,0.07,0.05,0.06,0.07,840,-6.296153846,0
122,26,26.25,25.88,26.38,17,20,92,56,0.06,0.05,0.05,0.07,835,-6.296153846,0
123,26.06,26.25,25.88,26.38,17,20,92,56,0.07,0.05,0.07,0.06,835,-6.242307692,0
124,26,26.25,25.88,26.38,18,22,95,59,0.07,0.05,0.06,0.06,835,-6.138461538,0
125,26,26.25,25.88,26.38,17,21,95,59,0.08,0.05,0.06,0.06,835,-5.938461538,0
126,26,26.25,25.88,26.38,17,21,94,58,0.07,0.05,0.07,0.07,830,-5.738461538,0
127,26,26.19,25.88,26.31,17,21,93,58,0.08,0.05,0.07,0.06,830,-5.542307692,0
128,26,26.19,25.81,26.31,17,21,95,58,0.07,0.05,0.06,0.06,830,-5.257692308,0
129,26,26.25,25.88,26.38,17,21,94,58,0.07,0.05,0.06,0.06,830,-4.834615385,0
130,26,26.19,25.81,26.38,17,21,93,58,0.07,0.04,0.07,0.06,830,-4.319230769,0
131,26,26.13,25.81,26.38,17,21,94,58,0.08,0.07,0.06,0.06,820,-3.903846154,0
132,26,26.19,25.88,26.38,17,21,95,59,0.07,0.05,0.08,0.06,820,-3.496153846,0
133,26,26.19,25.88,26.38,17,21,95,58,0.07,0.05,0.06,0.06,815,-3.15,0
134,26,26.19,25.88,26.38,17,21,93,57,0.07,0.05,0.07,0.06,815,-2.823076923,0
135,26,26.19,25.88,26.31,17,21,93,57,0.06,0.05,0.07,0.07,815,-2.523076923,0
136,26,26.13,25.81,26.38,17,21,93,58,0.07,0.07,0.06,0.06,805,-2.35,0
137,26,26.19,25.81,26.31,17,21,94,58,0.06,0.05,0.07,0.06,805,-2.211538462,0
138,26,26.19,25.81,26.31,16,21,93,57,0.07,0.05,0.06,0.06,800,-2.161538462,0
139,25.94,26.13,25.81,26.31,17,21,93,57,0.08,0.06,0.09,0.06,795,-2.153846154,0
140,26,26.13,25.88,26.31,17,21,94,58,0.06,0.08,0.1,0.08,785,-2.284615385,0
141,25.94,26.13,25.88,26.31,17,21,94,58,0.08,0.07,0.07,0.06,775,-2.503846154,0
142,26,26.13,25.81,26.38,17,21,95,58,0.08,0.05,0.07,0.08,770,-2.761538462,0
143,26,26.13,25.81,26.38,16,21,93,57,0.08,0.05,0.07,0.08,770,-2.911538462,0
144,26,26.13,25.81,26.38,16,21,94,58,0.06,0.05,0.07,0.06,765,-3.096153846,0
145,25.94,26.13,25.81,26.38,16,20,94,58,0.07,0.04,0.07,0.07,760,-3.315384615,0
146,26,26.13,25.81,26.31,16,20,93,57,0.08,0.05,0.06,0.06,760,-3.473076923,0
147,26,26.13,25.81,26.31,16,20,93,57,0.07,0.05,0.06,0.06,755,-3.665384615,0
148,25.94,26.13,25.81,26.38,16,20,91,56,0.07,0.05,0.06,0.07,750,-3.842307692,0
149,25.94,26.13,25.81,26.31,16,20,90,55,0.07,0.05,0.05,0.06,755,-3.907692308,0
150,25.94,26.13,25.81,26.38,15,20,90,54,0.07,0.05,0.06,0.06,750,-3.957692308,0
151,25.94,26.06,25.81,26.38,15,20,89,54,0.07,0.05,0.06,0.06,750,-3.992307692,0
152,25.94,26.13,25.81,26.38,15,20,89,54,0.07,0.05,0.06,0.06,755,-3.919230769,0
153,25.94,26.06,25.81,26.31,15,20,89,54,0.07,0.05,0.06,0.07,755,-3.788461538,0
154,25.94,26.06,25.75,26.31,15,20,89,54,0.07,0.05,0.07,0.06,750,-3.646153846,0
155,25.94,26.06,25.75,26.38,15,20,88,54,0.07,0.05,0.06,0.06,755,-3.396153846,0
156,25.94,26.06,25.81,26.38,15,20,89,54,0.07,0.05,0.06,0.06,750,-3.234615385,0
157,25.94,26.06,25.75,26.38,15,20,88,54,0.06,0.05,0.06,0.06,740,-3.111538462,0
158,25.94,26.06,25.75,26.38,14,19,86,53,0.07,0.05,0.06,0.07,730,-3.069230769,0
159,25.94,26.06,25.75,26.31,14,19,85,52,0.09,0.05,0.07,0.07,730,-2.961538462,0
160,25.94,26.06,25.75,26.31,14,18,84,51,0.07,0.06,0.09,0.06,720,-2.880769231,0
161,25.94,26.06,25.81,26.31,14,18,84,51,0.08,0.05,0.07,0.06,715,-2.873076923,0
162,25.94,26.06,25.75,26.31,14,18,83,51,0.07,0.06,0.07,0.06,710,-2.842307692,0
163,25.88,26.06,25.75,26.31,14,18,82,51,0.08,0.04,0.07,0.07,715,-2.742307692,0
164,25.94,26.06,25.75,26.38,14,17,80,49,0.08,0.06,0.08,0.07,715,-2.626923077,0
165,25.94,26,25.75,26.31,14,18,82,51,0.08,0.05,0.07,0.07,715,-2.55,0
166,25.94,26,25.75,26.31,14,19,85,53,0.07,0.05,0.06,0.06,715,-2.519230769,0
167,25.94,26,25.75,26.31,14,19,85,53,0.06,0.05,0.06,0.06,715,-2.492307692,0
168,25.88,26,25.75,26.31,14,19,86,53,0.08,0.06,0.06,0.07,705,-2.515384615,0
169,25.88,26,25.75,26.38,14,19,86,53,0.07,0.05,0.08,0.06,705,-2.538461538,0
170,25.88,26,25.75,26.31,14,19,86,54,0.07,0.05,0.06,0.06,705,-2.565384615,0
171,25.88,26,25.75,26.31,14,19,87,54,0.07,0.05,0.05,0.06,705,-2.55,0
172,25.88,26,25.75,26.31,14,19,85,53,0.06,0.05,0.06,0.06,695,-2.634615385,0
173,25.88,26,25.75,26.31,14,19,85,53,0.08,0.06,0.07,0.06,690,-2.769230769,0
174,25.88,26,25.75,26.31,14,18,85,53,0.06,0.05,0.06,0.06,690,-2.807692308,0
175,25.88,26,25.75,26.31,14,19,85,53,0.07,0.05,0.06,0.06,695,-2.8,0
176,25.88,25.94,25.75,26.31,15,19,87,54,0.08,0.05,0.06,0.06,690,-2.796153846,0
177,25.88,25.94,25.75,26.38,15,20,90,56,0.08,0.05,0.06,0.06,685,-2.742307692,0
178,25.81,25.94,25.75,26.31,15,19,89,54,0.08,0.05,0.06,0.06,680,-2.680769231,0
179,25.88,25.94,25.75,26.31,14,19,88,54,0.07,0.05,0.06,0.07,685,-2.565384615,0
180,25.88,25.94,25.75,26.31,14,18,85,53,0.07,0.05,0.06,0.06,690,-2.303846154,0
181,25.88,25.94,25.75,26.31,14,17,83,51,0.07,0.06,0.08,0.07,685,-2.088461538,0
182,25.88,25.94,25.75,26.31,14,17,81,50,0.08,0.1,0.11,0.08,685,-1.923076923,0
183,25.88,25.94,25.75,26.31,14,17,80,49,0.07,0.06,0.06,0.06,680,-1.861538462,0
184,25.88,25.94,25.75,26.31,14,17,80,49,0.08,0.05,0.06,0.06,675,-1.807692308,0
185,25.88,25.94,25.75,26.31,13,16,79,49,0.07,0.1,0.06,0.07,680,-1.765384615,0
186,25.88,25.94,25.75,26.31,14,17,80,49,0.07,0.05,0.08,0.08,675,-1.788461538,0
187,25.88,25.94,25.75,26.31,14,17,80,49,0.08,0.07,0.08,0.06,675,-1.830769231,0
188,25.81,25.94,25.75,26.31,14,16,80,49,0.08,0.05,0.08,0.07,675,-1.796153846,0
189,25.88,25.88,25.69,26.31,13,17,80,49,0.08,0.04,0.06,0.06,675,-1.730769231,0
190,25.81,25.94,25.75,26.31,13,16,79,49,0.1,0.05,0.06,0.06,670,-1.680769231,0
191,25.81,25.88,25.69,26.31,13,16,79,49,0.07,0.05,0.12,0.1,655,-1.734615385,0
192,25.88,25.88,25.69,26.31,13,16,78,49,0.07,0.05,0.06,0.06,655,-1.742307692,0
193,25.81,25.88,25.69,26.38,13,16,78,49,0.07,0.05,0.06,0.06,650,-1.85,0
194,25.88,25.94,25.69,26.38,13,16,78,49,0.07,0.05,0.07,0.06,650,-1.915384615,0
195,25.81,25.88,25.75,26.31,13,16,79,49,0.08,0.11,0.09,0.07,640,-2.030769231,0
196,25.81,25.88,25.69,26.38,14,17,80,50,0.06,0.05,0.06,0.06,640,-2.096153846,0
197,25.88,25.88,25.69,26.31,14,17,81,50,0.07,0.05,0.06,0.07,640,-2.211538462,0
198,25.81,25.88,25.75,26.31,14,17,81,50,0.07,0.05,0.06,0.05,635,-2.380769231,0
199,25.81,25.88,25.69,26.38,14,16,80,50,0.07,0.05,0.06,0.07,625,-2.6,0
200,25.81,25.88,25.69,26.31,13,17,80,50,0.08,0.05,0.06,0.06,630,-2.673076923,0
201,25.81,25.88,25.69,26.38,13,16,80,49,0.07,0.05,0.06,0.06,625,-2.792307692,0
202,25.81,25.88,25.69,26.31,13,16,80,49,0.07,0.07,0.07,0.07,620,-2.957692308,0
203,25.88,25.88,25.69,26.31,13,16,80,49,0.07,0.05,0.06,0.06,615,-3.169230769,0
204,25.81,25.88,25.69,26.31,13,16,80,49,0.07,0.05,0.06,0.06,610,-3.326923077,0
205,25.81,25.88,25.69,26.31,13,16,79,49,0.07,0.06,0.07,0.06,600,-3.469230769,0
206,25.81,25.88,25.69,26.31,13,16,79,49,0.08,0.05,0.07,0.06,600,-3.592307692,0
207,25.81,25.88,25.69,26.31,13,16,80,49,0.07,0.05,0.06,0.06,595,-3.696153846,0
208,25.81,25.88,25.69,26.38,13,16,79,49,0.07,0.05,0.07,0.06,600,-3.734615385,0
209,25.81,25.88,25.69,26.31,13,16,79,49,0.07,0.05,0.07,0.06,600,-3.761538462,0
210,25.81,25.88,25.69,26.31,13,15,78,48,0.07,0.05,0.07,0.06,600,-3.680769231,0
211,25.81,25.88,25.69,26.25,107,33,77,49,1.29,0.4,0.06,0.15,595,-3.634615385,1
212,25.81,25.88,25.69,26.31,112,34,76,49,0.9,0.36,0.41,0.2,595,-3.526923077,1
213,25.81,25.88,25.69,26.31,114,35,77,48,0.07,0.05,0.06,0.06,595,-3.357692308,1
214,25.88,25.88,25.69,26.31,116,35,77,49,0.18,0.06,0.07,0.06,590,-3.173076923,1
215,25.88,25.88,25.69,26.31,118,35,79,49,0.21,0.05,0.13,0.06,590,-2.973076923,1
216,25.88,25.88,25.69,26.31,119,35,76,49,0.24,0.11,0.11,0.09,595,-2.815384615,1
217,25.88,25.88,25.69,26.25,119,35,74,48,0.26,0.06,0.06,0.11,585,-2.703846154,1
218,25.88,25.88,25.69,26.31,119,35,73,46,0.08,0.05,0.05,0.08,590,-2.542307692,1
219,25.88,25.88,25.63,26.31,120,35,72,45,0.17,0.05,0.07,0.06,595,-2.288461538,1
220,25.88,25.88,25.69,26.25,120,34,71,45,1.51,0.69,0.57,0.07,595,-2.092307692,1
221,25.88,25.88,25.63,26.31,120,34,71,45,0.08,0.05,0.06,0.21,590,-1.907692308,1
222,25.88,25.88,25.63,26.25,120,34,71,45,0.07,0.05,0.06,0.07,580,-1.776923077,1
223,25.88,25.88,25.63,26.38,120,34,70,45,0.08,0.05,0.06,0.06,580,-1.65,1
224,25.94,25.88,25.63,26.31,120,34,70,44,0.08,0.05,0.06,0.06,580,-1.580769231,1
225,25.94,25.88,25.63,26.31,120,34,70,44,0.07,0.05,0.59,0.07,580,-1.426923077,1
226,25.94,25.88,25.63,26.31,120,34,70,44,1.71,0.63,0.07,0.3,580,-1.284615385,1
227,25.88,25.88,25.63,26.31,120,34,70,44,0.07,0.05,0.06,0.06,580,-1.157692308,1
228,25.94,25.88,25.63,26.31,119,34,70,45,0.17,0.05,0.48,0.07,575,-1.096153846,1
229,25.94,25.88,25.63,26.38,120,34,68,44,1.49,0.58,0.15,0.24,575,-1.053846154,1
230,25.88,25.81,25.56,26.31,120,33,67,43,1.44,0.49,0.52,0.27,570,-1.130769231,1
231,25.94,25.81,25.63,26.31,119,33,68,42,0.21,0.06,0.09,0.06,570,-1.184615385,1
